song_id,song_name,billboard,artist_updated,artist_id,popularity,explicit,song_type
0Q7Jp3aCwfYnSnbMDoXWyR,From This Moment On,Shania Twain,Shania Twain,5e4Dhzv426EvQe3aDb64jL,55,FALSE,Collaboration
3CVDronuSnhguSUguPoseM,Thank U,Alanis Morissette,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,58,FALSE,Collaboration
6DX7WBxe3wpUb2wyTXMVH0,It's the Things You Do,Five,Five,6rEzedK7cKWjeQWdAYvWVG,27,FALSE,Collaboration
3Xl5apC8UhqZ1FZ7u3HHfO,A Little Past Little Rock,Lee Ann Womack,Lee Ann Womack,738OS3zrCO782uDiUN9pet,37,FALSE,Collaboration
7ziHnshbknkpFLDW5yGBjO,Never Ever,All Saints,All Saints,5TDVKqW9uhqGjwwwKGuma4,58,FALSE,Collaboration
11dZMjEuh0wev2ye8RgzU5,The Boy Is Mine,Brandy & Monica,Brandy,05oH07COxkXKIMt6mIPRee,7,FALSE,Collaboration
0ALJZXgutuN6F680E8lQPs,Daydreamin',Tatyana Ali,Tatyana Ali,4ZYkqq2f8wA9vkV4iQIo4C,37,FALSE,Collaboration
6C2hdBRnurJLyuxR9t2kda,Touch Me,Solo,Solo Tamas,5gHf6xR8ew3TPKfjBW6x4m,6,FALSE,Collaboration
6rznBy0Ox2G7O8VTFGCn3o,No Fool No More,En Vogue,En Vogue,5fikk4h5qbEebqK2Fc6e48,6,FALSE,Collaboration
0lej8CemYKkWVHg77Xe1ky,A Man Holdin' on (To a Woman Lettin’ Go),Ty Herndon,Ty Herndon,1Fj0R2t4HaJa3oUe8azB8R,9,FALSE,Collaboration
5ipaVsVyXBn9XyM7VnWexd,Baby Be There,Nu Flavor,Nu Flavor,2gdX1GbQ8sljsTVwDaIpkc,19,FALSE,Collaboration
6EZV3YJTrJMjIVRElFRkb7,My Heart Will Go On,Deja Vu,Déjà Vu,63mUiSpYZTSGIdZR4c4kkD,6,FALSE,Collaboration
6RbC38oDCIXD8V2AOU1Tjr,The Memory Remains,Metallica,Metallica',2ye2Wgw4gimLv2eAKyk1NB,56,FALSE,Collaboration
0zLMsK6UeAP4KrbekFbHvC,Heaven,Nu Flavor,Nu Flavor,2gdX1GbQ8sljsTVwDaIpkc,38,FALSE,Collaboration
1JMTM2t2JQ9sJhBcu9K8c3,What About Us,Total,Total,3l9NmN2xvoFKpToiAw9bCd,2,TRUE,Collaboration
4MTHIKGWNTBoubzDMkXFfa,I Can Love You,Mary J. Blige,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,52,FALSE,Collaboration
5unZhOSU2vLY6pkAergspu,It's Alright,Queen Latifah,Queen Latifah,5m7wCUhYhBh7A3A3YMxrbt,14,TRUE,Collaboration
0UJVu6W5KzN3nyDwftj7Yd,Supernatural,Wild Orchid,David Frank,2EDztm3AezdcJksqJx1W2C,7,FALSE,Collaboration
4wwRROf47MXBX5u5Knwixx,We Trying to Stay Alive,Wyclef Jean Featuring Refugee Allstars,Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,48,FALSE,Collaboration
5z5wYWL1IO6y2yEFBOiGt0,Insomnia,Faithless,Faithless,5T4UKHhr4HGIC0VzdZQtAE,52,FALSE,Collaboration
14QzP71jNp2vTBzT7KDwaA,Talk To Me,Wild Orchid,David Frank,2EDztm3AezdcJksqJx1W2C,15,FALSE,Collaboration
0pSaDwrMLM7F82LWJg9v6s,Whateva Man,Redman,Redman,7xTKLpo7UCzXSnlH7fOIoM,40,TRUE,Collaboration
4BWAfHcuiNeOW2DrtP6RbD,All Along,Blessid Union Of Souls,Blessid Union Of Souls,4W4gYpQ2AQq7US2HZS13Qw,16,FALSE,Collaboration
20lzW8sXHa20GVDyIwJihy,"The Earth, the Sun, the Rain",Color Me Badd,Color Me Badd,1QtIfAa6y7w2JhxYJhYeUG,38,FALSE,Collaboration
3f8QH5osf2VXrjVR2jsSOg,Just Because I Love You,Lina Santiago,Lina Santiago,1r2xQQhIstVJUF9vsYHg2y,14,FALSE,Collaboration
3uiU9Z9YcdQ9fFQchFntes,Dirty South,Goodie Mob,Goodie Mob,3F2Y683ovlWT53WKCeq0oj,22,FALSE,Collaboration
3no3yXQLbaHgR7LScnIXYh,"1, 2, 3, 4 - Sumpin' New",Coolio,Coolio,3y24n3XhZ96wgwRXjvS17T,6,FALSE,Collaboration
3sdABmOo4JklRUxpE802s7,For the Love of You,Jordan Hill,Jordan Hill,0OOhKEKPDRy8UrlykRWG2i,14,FALSE,Collaboration
6utJPGnUAGkW7qRaYpoasi,Mr. Ice Cream Man,Master P,Master P,7zICaxnDB9ZprDSiFpvbbW,40,TRUE,Collaboration
4UCNGmp2jX1YhokWQk5Ak4,Live and Die for Hip Hop,Kris Kross,Kris Kross,2zrZfs23sjuHDv4E6YRmNf,36,FALSE,Collaboration
7pcjhiKODADooP7IFPgetr,Stayin' Alive,N-Trance,N-Trance,45InkbGypoMk5nVX6dsHkt,31,FALSE,Collaboration
187C1OKefJy2rAEctamCc9,Funkorama,Redman,Redman,7xTKLpo7UCzXSnlH7fOIoM,14,TRUE,Collaboration
5wG7d4cNogw0ETKaICPEYA,Hey Lover,LL Cool J,LL Cool J,1P8IfcNKwrkQP5xJWuhaOC,62,FALSE,Collaboration
7Jivh0vTRGrCVOz55GDYJ4,Get Together,Big Mountain,Big Mountain,0Jeckitay8SbvKwqAzWuYH,32,FALSE,Collaboration
3GzVpLKf9FHc5SoxhAVPeS,East Side Rendezvous,Frost,Frost,2xIJg09fPM9z97qcEzF1Do,30,TRUE,Collaboration
3nBeTAYJqOOp2pweHRrmhK,West Up!,WC & The Maad Circle,Wc And The Maad Circle',2BNJSSIoivoAWGlyRb6nhq,31,TRUE,Collaboration
4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Luniz,Luniz,3z3g65U7mmyyBmmDfsQK9x,72,FALSE,Collaboration
3scEwKiAkfdPUdZ6k1AEoW,Tonight's The Night,BLACKstreet,Blackstreet,2P3cjUru4H3fhSXXNxE9kA,29,FALSE,Collaboration
7qnNnQTGxdzI2wZWpa0vDD,I Believe,Blessid Union Of Souls,Blessid Union Of Souls,4W4gYpQ2AQq7US2HZS13Qw,44,FALSE,Collaboration
0S45wqGbuBLuSFUAi9nkXw,This Is How We Do It,Montell Jordan,Montell Jordan,0iVrCROxeyon7MZUW3MfzT,54,FALSE,Collaboration
28SF0lKRqso9SSTDpbv991,Foe Life,Mack 10,Mack 10,3USpNaxpX1iNqNnQWqg9ob,52,TRUE,Collaboration
4nASzyRbzL5qZQuOPjQfsj,Shook Ones Part II,Mobb Deep,Mobb Deep,6O2zJ0tId7g07yzHtX0yap,40,TRUE,Collaboration
3Nf8oGn1okobzjDcFCvT6n,I'll Stand by You,Pretenders,Pretenders,0GByy3DcfbQwDvXGCWmzv9,67,FALSE,Collaboration
2e3YoddL43UkaSqhYGqfKz,Do You See,Warren G,Warren G,2B4ZHz4QDWJTXPFPgO5peE,47,TRUE,Collaboration
5N4GJ0qYLFC2D2dq0fVdiw,"Circle of Life (From ""The Lion King"")",Elton John,Elton John,3PhoLpVuITZKcymswpck5b,2,FALSE,Collaboration
2ImuQo1g14CTR9hZAZD3aQ,This D.J.,Warren G,Warren G,2B4ZHz4QDWJTXPFPgO5peE,62,TRUE,Collaboration
35SAXfWgRdmsiCxJBFgXgg,Can You Feel the Love Tonight (From The Lion King),Elton John,Elton John,3PhoLpVuITZKcymswpck5b,8,FALSE,Collaboration
45wneA2j0Z0WMnYNDO6Ad0,Back & Forth,Aaliyah,Aaliyah,0urTpYCsixqZwgNTkPJOJ4,56,FALSE,Collaboration
7xFGMLVioqfPYL3kuiZfAf,Sweet Sensual Love,Big Mountain,Big Mountain,0Jeckitay8SbvKwqAzWuYH,28,FALSE,Collaboration
